timestamp,active,P,T,Cs
1745929906982,0,0.200,10,5
1745929907980,0,0.200,10,5
1745929908977,0,0.200,10,5
1745929909974,0,0.200,10,5
1745929910975,0,0.200,10,5
1745929911977,0,0.200,10,5
1745929912979,0,0.200,10,5
1745929913982,0,0.200,10,5
1745929914978,0,0.200,10,5
1745929915981,0,0.200,10,5
1745929916981,0,0.200,10,5
1745929917980,0,0.200,10,5
1745929918969,0,0.200,10,5
1745929919971,0,0.200,10,5
1745929920969,0,0.200,10,5
1745929921974,0,0.200,10,5
1745929922972,0,0.200,10,5
1745929923978,0,0.200,10,5
1745929924980,0,0.200,10,5
1745929925980,0,0.200,10,5
1745929926969,0,0.200,10,5
1745929927971,0,0.200,10,5
1745929928983,0,0.200,10,5
1745929929980,0,0.200,10,5
1745929930974,0,0.200,10,5
1745929931970,0,0.200,10,5
1745929932982,0,0.200,10,5
1745929933978,0,0.200,10,5
1745929934970,0,0.200,10,5
1745929935981,0,0.200,10,5
1745929936976,0,0.200,10,5
1745929937975,0,0.200,10,5
1745929938968,0,0.200,10,5
1745929939974,0,0.200,10,5
1745929940969,0,0.200,10,5
1745929941971,0,0.200,10,5
1745929942979,0,0.200,10,5
1745929943970,0,0.200,10,5
1745929944979,0,0.200,10,5
1745929945974,0,0.200,10,5
1745929946968,0,0.200,10,5
1745929947975,0,0.200,10,5
1745929948970,0,0.200,10,5
1745929949978,0,0.200,10,5
1745929950971,0,0.200,10,5
1745929951976,0,0.200,10,5
1745929952971,0,0.200,10,5
1745929953969,0,0.200,10,5
1745929954981,0,0.200,10,5
1745929955975,0,0.200,10,5
1745929956970,0,0.200,10,5
1745929957980,0,0.200,10,5
1745929958974,0,0.200,10,5
1745929959971,0,0.200,10,5
1745929960983,0,0.200,10,5
1745929961979,0,0.200,10,5
1745929962975,0,0.200,10,5
1745929963977,0,0.200,10,5
1745929964972,0,0.200,10,5
1745929965970,0,0.200,10,5
1745929966981,0,0.200,10,5
1745929967975,0,0.200,10,5
1745929968971,0,0.200,10,5
1745929969984,0,0.200,10,5
1745929970981,0,0.200,10,5
1745929971975,0,0.200,10,5
1745929972968,0,0.200,10,5
1745929973977,0,0.200,10,5
1745929974971,0,0.200,10,5
1745929975982,0,0.200,10,5
1745929976982,0,0.200,10,5
1745929977982,0,0.200,10,5
1745929978975,0,0.200,10,5
1745929979972,0,0.200,10,5
1745929980982,0,0.200,10,5
1745929981975,0,0.200,10,5
1745929982970,0,0.200,10,5
1745929983982,0,0.200,10,5
1745929984980,0,0.200,10,5
1745929985971,0,0.200,10,5
1745929986984,0,0.200,10,5
1745929987977,0,0.200,10,5
1745929988973,0,0.200,10,5
1745929989983,0,0.200,10,5
1745929990973,0,0.200,10,5
1745929991980,0,0.200,10,5
1745929992972,0,0.200,10,5
1745929993983,0,0.200,10,5
1745929994971,0,0.200,10,5
1745929995978,0,0.200,10,5
1745929996973,0,0.200,10,5
1745929997978,0,0.200,10,5
1745929998972,0,0.200,10,5
1745929999982,0,0.200,10,5
1745930000977,0,0.200,10,5
1745930001973,0,0.200,10,5
1745930002969,0,0.200,10,5
1745930003979,0,0.200,10,5
1745930004975,0,0.200,10,5
1745930005972,0,0.200,10,5
1745930006983,0,0.200,10,5
1745930007970,0,0.200,10,5
1745930008981,0,0.200,10,5
1745930009977,0,0.200,10,5
1745930010973,0,0.200,10,5
1745930011982,0,0.200,10,5
1745930012978,0,0.200,10,5
1745930013975,0,0.200,10,5
1745930014972,0,0.200,10,5
1745930015983,0,0.200,10,5
1745930016981,0,0.200,10,5
1745930017976,0,0.200,10,5
1745930018974,0,0.200,10,5
1745930019969,0,0.200,10,5
1745930020981,0,0.200,10,5
1745930021979,0,0.200,10,5
1745930022977,0,0.200,10,5
1745930023970,0,0.200,10,5
1745930024979,0,0.200,10,5
1745930025976,0,0.200,10,5
1745930026969,0,0.200,10,5
1745930027980,0,0.200,10,5
1745930028978,0,0.200,10,5
1745930029972,0,0.200,10,5
1745930030969,0,0.200,10,5
1745930031979,0,0.200,10,5
1745930032971,0,0.200,10,5
1745930033977,0,0.200,10,5
1745930034973,0,0.200,10,5
1745930035969,0,0.200,10,5
1745930036979,0,0.200,10,5
1745930037975,0,0.200,10,5
1745930038971,0,0.200,10,5
1745930039980,0,0.200,10,5
1745930040972,0,0.200,10,5
1745930041979,0,0.200,10,5
1745930042981,0,0.200,10,5
1745930043969,0,0.200,10,5
1745930044972,0,0.200,10,5
1745930045977,0,0.200,10,5
1745930046969,0,0.200,10,5
1745930047977,0,0.200,10,5
1745930048969,0,0.200,10,5
1745930049974,0,0.200,10,5
1745930050983,0,0.200,10,5
1745930051978,0,0.200,10,5
1745930052972,0,0.200,10,5
1745930053973,0,0.200,10,5
1745930054973,0,0.200,10,5
1745930055970,0,0.200,10,5
1745930056970,0,0.200,10,5
1745930057984,0,0.200,10,5
1745930058984,0,0.200,10,5
1745930059982,0,0.200,10,5
1745930060983,0,0.200,10,5
1745930061983,0,0.200,10,5
1745930062985,0,0.200,10,5
1745930063972,0,0.200,10,5
1745930064970,0,0.200,10,5
1745930065983,0,0.200,10,5
1745930066984,0,0.200,10,5
1745930067985,0,0.200,10,5
1745930068972,0,0.200,10,5
1745930069972,0,0.200,10,5
1745930070974,0,0.200,10,5
1745930071973,0,0.200,10,5
1745930072970,0,0.200,10,5
1745930073982,0,0.200,10,5
1745930074984,0,0.200,10,5
1745930075981,0,0.200,10,5
1745930076978,0,0.200,10,5
1745930077976,0,0.200,10,5
1745930078974,0,0.200,10,5
1745930079972,0,0.200,10,5
1745930080974,0,0.200,10,5
1745930081970,0,0.200,10,5
1745930082983,0,0.200,10,5
1745930083979,0,0.200,10,5
1745930084972,0,0.200,10,5
1745930085983,0,0.200,10,5
1745930086976,0,0.200,10,5
1745930087972,0,0.200,10,5
1745930088982,0,0.200,10,5
1745930089979,0,0.200,10,5
1745930090982,0,0.200,10,5
1745930091978,0,0.200,10,5
1745930092971,0,0.200,10,5
1745930093979,0,0.200,10,5
1745930094973,0,0.200,10,5
1745930095983,0,0.200,10,5
1745930096975,0,0.200,10,5
1745930097979,0,0.200,10,5
1745930098975,0,0.200,10,5
1745930099982,0,0.200,10,5
1745930100975,0,0.200,10,5
1745930101983,0,0.200,10,5
1745930102978,0,0.200,10,5
1745930103975,0,0.200,10,5
1745930104970,0,0.200,10,5
1745930105981,0,0.200,10,5
1745930106975,0,0.200,10,5
1745930107974,0,0.200,10,5
1745930108972,0,0.200,10,5
1745930109969,0,0.200,10,5
1745930110970,0,0.200,10,5
1745930111982,0,0.200,10,5
1745930112982,0,0.200,10,5
1745930113981,0,0.200,10,5
1745930114979,0,0.200,10,5
1745930115979,0,0.200,10,5
1745930116978,0,0.200,10,5
1745930117974,0,0.200,10,5
1745930118978,0,0.200,10,5
1745930119983,0,0.200,10,5
1745930120984,0,0.200,10,5
1745930121970,0,0.200,10,5
1745930122984,0,0.200,10,5
1745930123970,0,0.200,10,5
1745930124986,0,0.200,10,5
1745930125974,0,0.200,10,5
1745930126978,0,0.200,10,5
1745930127974,0,0.200,10,5
1745930128974,0,0.200,10,5
1745930129982,0,0.200,10,5
1745930130978,0,0.200,10,5
1745930131985,0,0.200,10,5
1745930132981,0,0.200,10,5
1745930133980,0,0.200,10,5
1745930134973,0,0.200,10,5
1745930135984,0,0.200,10,5
1745930136977,0,0.200,10,5
1745930137975,0,0.200,10,5
1745930138984,0,0.200,10,5
1745930139983,0,0.200,10,5
1745930140978,0,0.200,10,5
1745930141970,0,0.200,10,5
1745930142974,0,0.200,10,5
1745930143984,0,0.200,10,5
1745930144975,0,0.200,10,5
1745930145982,0,0.200,10,5
1745930146973,0,0.200,10,5
1745930147981,0,0.200,10,5
1745930148984,0,0.200,10,5
1745930149974,0,0.200,10,5
1745930150980,0,0.200,10,5
1745930151978,0,0.200,10,5
1745930152974,0,0.200,10,5
1745930153980,0,0.200,10,5
1745930154978,0,0.200,10,5
1745930155972,0,0.200,10,5
1745930156982,0,0.200,10,5
1745930157974,0,0.200,10,5
1745930158983,0,0.200,10,5
1745930159976,0,0.200,10,5
1745930160977,0,0.200,10,5
1745930161981,0,0.200,10,5
1745930162973,0,0.200,10,5
1745930163985,0,0.200,10,5
1745930164985,0,0.200,10,5
1745930165981,0,0.200,10,5
1745930166977,0,0.200,10,5
1745930167971,0,0.200,10,5
1745930168976,0,0.200,10,5
1745930169976,0,0.200,10,5
1745930170974,0,0.200,10,5
1745930171970,0,0.200,10,5
1745930172979,0,0.200,10,5
1745930173976,0,0.200,10,5
1745930174973,0,0.200,10,5
1745930175985,0,0.200,10,5
1745930176983,0,0.200,10,5
1745930177981,0,0.200,10,5
1745930178975,0,0.200,10,5
1745930179985,0,0.200,10,5
1745930180978,0,0.200,10,5
1745930181976,0,0.200,10,5
1745930182974,0,0.200,10,5
1745930183984,0,0.200,10,5
1745930184981,0,0.200,10,5
1745930185978,0,0.200,10,5
1745930186974,0,0.200,10,5
1745930187979,0,0.200,10,5
1745930188979,0,0.200,10,5
1745930189974,0,0.200,10,5
1745930190971,0,0.200,10,5
1745930191979,0,0.200,10,5
1745930192973,0,0.200,10,5
1745930193982,0,0.200,10,5
1745930194976,0,0.200,10,5
1745930195984,0,0.200,10,5
1745930196977,0,0.200,10,5
1745930197983,0,0.200,10,5
1745930198976,0,0.200,10,5
1745930199984,0,0.200,10,5
1745930200980,0,0.200,10,5
1745930201973,0,0.200,10,5
1745930202978,0,0.200,10,5
1745930203981,0,0.200,10,5
1745930204973,0,0.200,10,5
1745930205981,0,0.200,10,5
1745930206984,0,0.200,10,5
1745930207975,0,0.200,10,5
1745930208984,0,0.200,10,5
1745930209978,0,0.200,10,5
1745930210982,0,0.200,10,5
1745930211973,0,0.200,10,5
1745930212981,0,0.200,10,5
1745930213981,0,0.200,10,5
1745930214972,0,0.200,10,5
1745930215975,0,0.200,10,5
1745930216971,0,0.200,10,5
1745930217979,0,0.200,10,5
1745930218972,0,0.200,10,5
1745930219981,0,0.200,10,5
1745930220973,0,0.200,10,5
1745930221977,0,0.200,10,5
1745930222971,0,0.200,10,5
1745930223977,0,0.200,10,5
1745930224986,0,0.200,10,5
1745930225978,0,0.200,10,5
1745930226971,0,0.200,10,5
1745930227982,0,0.200,10,5
1745930228976,0,0.200,10,5
1745930229980,0,0.200,10,5
1745930230985,0,0.200,10,5
1745930231977,0,0.200,10,5
1745930232982,0,0.200,10,5
1745930233975,0,0.200,10,5
1745930234985,0,0.200,10,5
1745930235977,0,0.200,10,5
1745930236972,0,0.200,10,5
1745930237980,0,0.200,10,5
1745930238982,0,0.200,10,5
1745930239977,0,0.200,10,5
1745930240985,0,0.200,10,5
1745930241980,0,0.200,10,5
1745930242974,0,0.200,10,5
1745930243979,0,0.200,10,5
1745930244972,0,0.200,10,5
1745930245981,0,0.200,10,5
1745930246978,0,0.200,10,5
1745930247981,0,0.200,10,5
1745930248986,0,0.200,10,5
1745930249981,0,0.200,10,5
1745930250978,0,0.200,10,5
1745930251974,0,0.200,10,5
1745930252984,0,0.200,10,5
1745930253979,0,0.200,10,5
1745930254979,0,0.200,10,5
1745930255974,0,0.200,10,5
1745930256977,0,0.200,10,5
1745930257975,0,0.200,10,5
1745930258984,0,0.200,10,5
1745930259982,0,0.200,10,5
1745930260979,0,0.200,10,5
1745930261981,0,0.200,10,5
1745930262985,0,0.200,10,5
1745930263975,0,0.200,10,5
1745930264983,0,0.200,10,5
1745930265983,0,0.200,10,5
1745930266981,0,0.200,10,5
1745930267983,0,0.200,10,5
1745930268979,0,0.200,10,5
1745930269974,0,0.200,10,5
1745930270975,0,0.200,10,5
1745930271985,0,0.200,10,5
1745930272971,0,0.200,10,5
1745930273974,0,0.200,10,5
1745930274978,0,0.200,10,5
1745930275973,0,0.200,10,5
1745930276981,0,0.200,10,5
1745930277985,0,0.200,10,5
1745930278982,0,0.200,10,5
1745930279980,0,0.200,10,5
1745930280986,0,0.200,10,5
1745930281981,0,0.200,10,5
1745930282974,0,0.200,10,5
1745930283985,0,0.200,10,5
1745930284982,0,0.200,10,5
1745930285973,0,0.200,10,5
1745930286975,0,0.200,10,5
1745930287983,0,0.200,10,5
1745930288978,0,0.200,10,5
1745930289984,0,0.200,10,5
1745930290976,0,0.200,10,5
1745930291983,0,0.200,10,5
1745930292978,0,0.200,10,5
